date,datetime,cash_type,card,money,coffee_name
01-03-2024,15:50.5,card,ANON-0000-0000-0001,38.7,Latte
01-03-2024,19:22.5,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01-03-2024,20:18.1,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01-03-2024,46:33.0,card,ANON-0000-0000-0003,28.9,Americano
01-03-2024,48:14.6,card,ANON-0000-0000-0004,38.7,Latte
01-03-2024,39:47.7,card,ANON-0000-0000-0005,33.8,Americano with Milk
01-03-2024,19:02.8,card,ANON-0000-0000-0006,38.7,Hot Chocolate
01-03-2024,39:03.6,card,ANON-0000-0000-0007,33.8,Americano with Milk
01-03-2024,22:01.8,card,ANON-0000-0000-0008,38.7,Cocoa
01-03-2024,23:15.9,card,ANON-0000-0000-0008,33.8,Americano with Milk
01-03-2024,29:17.4,card,ANON-0000-0000-0009,33.8,Americano with Milk
02-03-2024,22:07.0,card,ANON-0000-0000-0010,28.9,Americano
02-03-2024,30:35.7,cash,,40,Latte
02-03-2024,41:41.2,card,ANON-0000-0000-0011,33.8,Americano with Milk
02-03-2024,59:45.5,card,ANON-0000-0000-0012,33.8,Americano with Milk
02-03-2024,38:35.5,card,ANON-0000-0000-0013,28.9,Americano
02-03-2024,37:24.5,card,ANON-0000-0000-0014,33.8,Americano with Milk
02-03-2024,34:55.0,card,ANON-0000-0000-0004,28.9,Americano
03-03-2024,10:44.0,cash,,40,Latte
03-03-2024,27:18.6,card,ANON-0000-0000-0015,38.7,Latte
03-03-2024,33:56.1,card,ANON-0000-0000-0016,28.9,Cortado
03-03-2024,26:56.1,card,ANON-0000-0000-0012,28.9,Americano
03-03-2024,09:36.3,card,ANON-0000-0000-0017,38.7,Hot Chocolate
03-03-2024,06:40.3,card,ANON-0000-0000-0018,38.7,Cocoa
03-03-2024,08:45.9,card,ANON-0000-0000-0019,28.9,Cortado
03-03-2024,03:23.4,card,ANON-0000-0000-0020,33.8,Americano with Milk
03-03-2024,04:27.9,card,ANON-0000-0000-0020,33.8,Americano with Milk
03-03-2024,08:05.0,card,ANON-0000-0000-0020,38.7,Hot Chocolate
04-03-2024,03:52.0,card,ANON-0000-0000-0001,38.7,Latte
04-03-2024,54:51.0,card,ANON-0000-0000-0021,38.7,Latte
04-03-2024,05:16.2,card,ANON-0000-0000-0012,33.8,Americano with Milk
04-03-2024,04:37.7,card,ANON-0000-0000-0022,24,Espresso
05-03-2024,59:52.7,card,ANON-0000-0000-0001,38.7,Latte
05-03-2024,34:56.0,card,ANON-0000-0000-0023,38.7,Latte
05-03-2024,34:06.0,card,ANON-0000-0000-0024,38.7,Latte
05-03-2024,35:25.0,card,ANON-0000-0000-0025,38.7,Hot Chocolate
05-03-2024,36:28.6,card,ANON-0000-0000-0026,38.7,Cocoa
05-03-2024,37:13.7,card,ANON-0000-0000-0027,38.7,Hot Chocolate
05-03-2024,38:09.4,card,ANON-0000-0000-0009,38.7,Hot Chocolate
05-03-2024,56:15.8,card,ANON-0000-0000-0028,28.9,Cortado
05-03-2024,01:31.2,card,ANON-0000-0000-0028,38.7,Hot Chocolate
06-03-2024,30:27.1,cash,,35,Americano with Milk
06-03-2024,24:07.7,card,ANON-0000-0000-0012,28.9,Americano
06-03-2024,25:14.4,card,ANON-0000-0000-0012,28.9,Cortado
06-03-2024,52:01.8,card,ANON-0000-0000-0029,38.7,Cappuccino
06-03-2024,53:18.3,card,ANON-0000-0000-0029,38.7,Cappuccino
07-03-2024,08:58.9,cash,,40,Latte
07-03-2024,18:40.5,card,ANON-0000-0000-0030,38.7,Hot Chocolate
07-03-2024,03:59.0,card,ANON-0000-0000-0031,38.7,Latte
07-03-2024,25:44.0,cash,,40,Latte
07-03-2024,40:22.6,card,ANON-0000-0000-0032,28.9,Americano
07-03-2024,41:28.8,card,ANON-0000-0000-0033,33.8,Americano with Milk
08-03-2024,34:41.3,card,ANON-0000-0000-0012,28.9,Cortado
08-03-2024,22:28.7,card,ANON-0000-0000-0034,38.7,Cappuccino
08-03-2024,53:02.0,card,ANON-0000-0000-0035,28.9,Americano
08-03-2024,44:12.7,card,ANON-0000-0000-0012,28.9,Americano
08-03-2024,45:11.0,card,ANON-0000-0000-0033,28.9,Americano
08-03-2024,46:11.2,card,ANON-0000-0000-0012,33.8,Americano with Milk
08-03-2024,57:51.5,card,ANON-0000-0000-0036,38.7,Latte
08-03-2024,59:24.9,card,ANON-0000-0000-0037,38.7,Latte
09-03-2024,49:37.3,cash,,40,Hot Chocolate
09-03-2024,05:15.6,card,ANON-0000-0000-0038,24,Espresso
09-03-2024,07:38.3,card,ANON-0000-0000-0039,28.9,Americano
09-03-2024,09:47.7,card,ANON-0000-0000-0012,38.7,Cappuccino
09-03-2024,13:03.5,card,ANON-0000-0000-0040,28.9,Americano
09-03-2024,14:26.5,card,ANON-0000-0000-0040,28.9,Americano
09-03-2024,09:22.2,card,ANON-0000-0000-0041,38.7,Latte
09-03-2024,41:06.2,card,ANON-0000-0000-0042,33.8,Americano with Milk
09-03-2024,53:10.4,card,ANON-0000-0000-0043,28.9,Cortado
09-03-2024,54:36.8,card,ANON-0000-0000-0043,38.7,Cappuccino
09-03-2024,08:01.8,card,ANON-0000-0000-0009,33.8,Americano with Milk
09-03-2024,26:52.9,card,ANON-0000-0000-0044,38.7,Hot Chocolate
09-03-2024,17:57.6,card,ANON-0000-0000-0009,38.7,Cappuccino
09-03-2024,19:10.1,card,ANON-0000-0000-0009,38.7,Hot Chocolate
10-03-2024,44:18.5,cash,,30,Americano
10-03-2024,45:29.4,cash,,35,Americano with Milk
10-03-2024,06:03.0,cash,,40,Latte
10-03-2024,19:20.8,card,ANON-0000-0000-0045,24,Espresso
10-03-2024,51:03.0,cash,,35,Americano with Milk
10-03-2024,34:00.5,card,ANON-0000-0000-0046,38.7,Latte
10-03-2024,35:54.7,card,ANON-0000-0000-0046,28.9,Cortado
11-03-2024,18:46.7,cash,,40,Latte
11-03-2024,24:15.0,cash,,40,Cappuccino
11-03-2024,24:51.6,cash,,30,Cortado
11-03-2024,26:44.2,cash,,30,Americano
11-03-2024,32:58.8,card,ANON-0000-0000-0035,38.7,Cappuccino
11-03-2024,24:26.4,card,ANON-0000-0000-0047,28.9,Americano
11-03-2024,25:45.7,card,ANON-0000-0000-0047,38.7,Latte
11-03-2024,50:49.6,card,ANON-0000-0000-0048,28.9,Cortado
12-03-2024,15:00.3,cash,,40,Latte
12-03-2024,15:34.5,card,ANON-0000-0000-0033,28.9,Americano
12-03-2024,16:24.9,card,ANON-0000-0000-0033,28.9,Cortado
12-03-2024,20:45.6,card,ANON-0000-0000-0049,38.7,Hot Chocolate
12-03-2024,46:23.3,card,ANON-0000-0000-0004,33.8,Americano with Milk
12-03-2024,47:26.0,card,ANON-0000-0000-0004,28.9,Americano
12-03-2024,15:43.3,card,ANON-0000-0000-0050,28.9,Americano
13-03-2024,06:43.0,card,ANON-0000-0000-0048,38.7,Hot Chocolate
13-03-2024,48:16.8,card,ANON-0000-0000-0004,28.9,Americano
13-03-2024,18:06.3,card,ANON-0000-0000-0051,28.9,Americano
13-03-2024,19:05.1,card,ANON-0000-0000-0051,28.9,Americano
13-03-2024,34:30.3,cash,,25,Espresso
13-03-2024,26:40.9,card,ANON-0000-0000-0052,33.8,Americano with Milk
13-03-2024,40:22.3,card,ANON-0000-0000-0053,24,Espresso
13-03-2024,41:20.4,card,ANON-0000-0000-0053,24,Espresso
13-03-2024,47:09.4,card,ANON-0000-0000-0054,24,Espresso
14-03-2024,02:12.2,cash,,40,Latte
14-03-2024,28:33.0,card,ANON-0000-0000-0055,38.7,Latte
14-03-2024,29:34.3,card,ANON-0000-0000-0055,38.7,Hot Chocolate
14-03-2024,27:29.5,card,ANON-0000-0000-0012,28.9,Cortado
14-03-2024,28:24.5,card,ANON-0000-0000-0012,28.9,Americano
14-03-2024,51:59.9,card,ANON-0000-0000-0056,33.8,Americano with Milk
14-03-2024,52:56.2,card,ANON-0000-0000-0057,24,Espresso
14-03-2024,20:38.4,card,ANON-0000-0000-0058,38.7,Latte
14-03-2024,04:09.5,card,ANON-0000-0000-0059,33.8,Americano with Milk
14-03-2024,54:38.2,card,ANON-0000-0000-0050,24,Espresso
14-03-2024,58:55.9,card,ANON-0000-0000-0019,38.7,Hot Chocolate
14-03-2024,00:08.7,card,ANON-0000-0000-0012,28.9,Cortado
15-03-2024,02:16.5,cash,,40,Latte
15-03-2024,53:02.2,card,ANON-0000-0000-0060,38.7,Hot Chocolate
15-03-2024,19:27.9,card,ANON-0000-0000-0012,28.9,Americano
16-03-2024,06:55.2,card,ANON-0000-0000-0061,33.8,Americano with Milk
16-03-2024,07:53.9,card,ANON-0000-0000-0061,28.9,Americano
16-03-2024,58:18.5,card,ANON-0000-0000-0009,28.9,Cortado
16-03-2024,03:21.7,card,ANON-0000-0000-0009,28.9,Cortado
16-03-2024,04:11.4,card,ANON-0000-0000-0012,28.9,Cortado
16-03-2024,58:07.2,card,ANON-0000-0000-0062,33.8,Americano with Milk
17-03-2024,10:21.4,cash,,40,Latte
17-03-2024,55:26.1,card,ANON-0000-0000-0063,28.9,Cortado
18-03-2024,17:59.7,card,ANON-0000-0000-0064,28.9,Cortado
18-03-2024,31:39.7,card,ANON-0000-0000-0003,28.9,Americano
18-03-2024,32:38.2,card,ANON-0000-0000-0003,28.9,Americano
18-03-2024,33:36.7,card,ANON-0000-0000-0003,28.9,Americano
19-03-2024,20:26.0,cash,,30,Cortado
19-03-2024,02:21.5,card,ANON-0000-0000-0065,38.7,Latte
19-03-2024,03:19.8,card,ANON-0000-0000-0065,38.7,Latte
19-03-2024,04:36.3,card,ANON-0000-0000-0049,38.7,Hot Chocolate
19-03-2024,53:48.7,card,ANON-0000-0000-0066,33.8,Americano with Milk
19-03-2024,26:32.7,cash,,40,Hot Chocolate
20-03-2024,41:16.4,card,ANON-0000-0000-0012,28.9,Cortado
20-03-2024,21:07.7,cash,,40,Latte
20-03-2024,30:49.0,card,ANON-0000-0000-0049,28.9,Cortado
20-03-2024,16:47.4,card,ANON-0000-0000-0067,38.7,Cappuccino
20-03-2024,42:38.1,card,ANON-0000-0000-0050,38.7,Cocoa
20-03-2024,50:28.8,card,ANON-0000-0000-0068,38.7,Latte
21-03-2024,18:57.0,cash,,40,Cappuccino
21-03-2024,25:09.2,card,ANON-0000-0000-0012,28.9,Cortado
21-03-2024,26:17.4,card,ANON-0000-0000-0012,38.7,Cappuccino
21-03-2024,21:01.5,cash,,30,Americano
21-03-2024,22:01.4,card,ANON-0000-0000-0012,28.9,Cortado
21-03-2024,20:36.5,card,ANON-0000-0000-0069,38.7,Latte
22-03-2024,35:53.6,card,ANON-0000-0000-0070,33.8,Americano with Milk
22-03-2024,29:20.3,card,ANON-0000-0000-0071,33.8,Americano with Milk
22-03-2024,15:14.4,cash,,40,Cappuccino
22-03-2024,17:03.7,card,ANON-0000-0000-0012,28.9,Americano
22-03-2024,17:59.0,card,ANON-0000-0000-0012,24,Espresso
22-03-2024,20:49.5,card,ANON-0000-0000-0050,28.9,Americano
23-03-2024,43:59.6,card,ANON-0000-0000-0072,38.7,Latte
23-03-2024,45:07.2,card,ANON-0000-0000-0073,33.8,Americano with Milk
23-03-2024,10:07.7,card,ANON-0000-0000-0074,38.7,Cappuccino
23-03-2024,11:12.2,card,ANON-0000-0000-0074,38.7,Cocoa
23-03-2024,44:41.3,card,ANON-0000-0000-0075,33.8,Americano with Milk
23-03-2024,47:19.1,card,ANON-0000-0000-0076,38.7,Latte
23-03-2024,49:33.8,card,ANON-0000-0000-0076,33.8,Americano with Milk
23-03-2024,00:58.4,card,ANON-0000-0000-0009,28.9,Cortado
24-03-2024,03:56.0,cash,,40,Latte
24-03-2024,45:08.4,card,ANON-0000-0000-0077,38.7,Latte
25-03-2024,31:47.2,card,ANON-0000-0000-0009,38.7,Latte
25-03-2024,16:25.7,cash,,35,Americano with Milk
25-03-2024,27:09.2,card,ANON-0000-0000-0078,38.7,Latte
25-03-2024,29:25.3,card,ANON-0000-0000-0017,38.7,Latte
25-03-2024,37:30.6,card,ANON-0000-0000-0024,33.8,Americano with Milk
25-03-2024,34:24.5,card,ANON-0000-0000-0079,38.7,Cappuccino
26-03-2024,35:49.7,card,ANON-0000-0000-0055,38.7,Cocoa
26-03-2024,36:36.2,card,ANON-0000-0000-0055,38.7,Latte
26-03-2024,42:30.2,card,ANON-0000-0000-0080,38.7,Latte
26-03-2024,11:47.3,card,ANON-0000-0000-0009,28.9,Cortado
26-03-2024,35:52.8,card,ANON-0000-0000-0003,28.9,Americano
26-03-2024,36:49.6,card,ANON-0000-0000-0032,28.9,Cortado
26-03-2024,37:59.7,card,ANON-0000-0000-0059,28.9,Cortado
26-03-2024,57:53.7,card,ANON-0000-0000-0050,28.9,Americano
26-03-2024,48:02.3,card,ANON-0000-0000-0081,38.7,Latte
26-03-2024,33:38.6,card,ANON-0000-0000-0024,38.7,Latte
26-03-2024,34:54.6,card,ANON-0000-0000-0009,38.7,Hot Chocolate
27-03-2024,04:51.2,card,ANON-0000-0000-0003,28.9,Cortado
27-03-2024,05:58.2,card,ANON-0000-0000-0003,33.8,Americano with Milk
27-03-2024,57:00.5,card,ANON-0000-0000-0082,33.8,Americano with Milk
27-03-2024,35:20.0,card,ANON-0000-0000-0083,38.7,Hot Chocolate
27-03-2024,22:31.7,card,ANON-0000-0000-0012,38.7,Cappuccino
27-03-2024,23:35.4,card,ANON-0000-0000-0012,28.9,Americano
27-03-2024,30:11.8,card,ANON-0000-0000-0084,28.9,Cortado
27-03-2024,31:12.4,cash,,40,Latte
28-03-2024,24:47.1,card,ANON-0000-0000-0085,28.9,Cortado
28-03-2024,24:46.2,card,ANON-0000-0000-0012,28.9,Cortado
28-03-2024,27:05.3,card,ANON-0000-0000-0012,28.9,Americano
28-03-2024,32:44.7,card,ANON-0000-0000-0086,38.7,Latte
29-03-2024,56:19.5,card,ANON-0000-0000-0087,38.7,Latte
29-03-2024,34:17.4,card,ANON-0000-0000-0088,38.7,Cappuccino
29-03-2024,41:32.1,card,ANON-0000-0000-0088,38.7,Cappuccino
29-03-2024,22:44.6,cash,,40,Cappuccino
30-03-2024,59:19.9,card,ANON-0000-0000-0069,38.7,Latte
30-03-2024,49:25.8,cash,,40,Cappuccino
30-03-2024,12:31.8,card,ANON-0000-0000-0017,38.7,Latte
30-03-2024,36:40.5,card,ANON-0000-0000-0009,38.7,Latte
30-03-2024,37:57.6,card,ANON-0000-0000-0009,33.8,Americano with Milk
31-03-2024,40:04.5,card,ANON-0000-0000-0089,38.7,Cappuccino
31-03-2024,36:45.0,cash,,30,Americano
01-04-2024,28:47.6,card,ANON-0000-0000-0004,28.9,Americano
01-04-2024,29:42.3,card,ANON-0000-0000-0004,33.8,Americano with Milk
01-04-2024,30:43.7,card,ANON-0000-0000-0004,33.8,Americano with Milk
01-04-2024,15:43.8,card,ANON-0000-0000-0009,33.8,Americano with Milk
01-04-2024,01:42.9,cash,,40,Cappuccino
01-04-2024,18:42.4,card,ANON-0000-0000-0024,33.8,Americano with Milk
01-04-2024,45:27.4,card,ANON-0000-0000-0090,38.7,Hot Chocolate
02-04-2024,01:14.0,card,ANON-0000-0000-0001,38.7,Latte
02-04-2024,18:34.2,card,ANON-0000-0000-0003,28.9,Americano
02-04-2024,19:28.5,card,ANON-0000-0000-0003,28.9,Cortado
02-04-2024,59:31.9,cash,,40,Cappuccino
03-04-2024,19:13.6,card,ANON-0000-0000-0003,28.9,Cortado
03-04-2024,20:07.7,card,ANON-0000-0000-0003,28.9,Americano
03-04-2024,12:05.4,card,ANON-0000-0000-0012,38.7,Cappuccino
03-04-2024,36:11.7,cash,,30,Cortado
04-04-2024,44:56.0,card,ANON-0000-0000-0091,38.7,Latte
04-04-2024,26:38.1,card,ANON-0000-0000-0092,38.7,Latte
04-04-2024,27:48.4,card,ANON-0000-0000-0093,38.7,Cappuccino
04-04-2024,23:02.2,card,ANON-0000-0000-0094,28.9,Cortado
04-04-2024,42:07.7,cash,,40,Latte
05-04-2024,40:42.7,card,ANON-0000-0000-0095,28.9,Americano
05-04-2024,42:06.2,card,ANON-0000-0000-0012,28.9,Americano
05-04-2024,06:14.6,card,ANON-0000-0000-0096,28.9,Cortado
05-04-2024,14:28.0,card,ANON-0000-0000-0097,33.8,Americano with Milk
05-04-2024,23:40.4,card,ANON-0000-0000-0098,38.7,Latte
05-04-2024,24:50.4,card,ANON-0000-0000-0098,28.9,Cortado
05-04-2024,30:50.4,cash,,40,Latte
05-04-2024,54:15.8,cash,,40,Cappuccino
05-04-2024,55:30.9,cash,,30,Americano
05-04-2024,17:44.0,cash,,40,Cocoa
05-04-2024,18:23.6,card,ANON-0000-0000-0003,24,Espresso
06-04-2024,32:31.4,card,ANON-0000-0000-0099,33.8,Americano with Milk
06-04-2024,13:18.7,card,ANON-0000-0000-0040,38.7,Cappuccino
06-04-2024,14:27.0,card,ANON-0000-0000-0040,28.9,Americano
06-04-2024,49:50.2,card,ANON-0000-0000-0009,38.7,Latte
07-04-2024,12:53.2,card,ANON-0000-0000-0091,38.7,Latte
07-04-2024,44:31.9,card,ANON-0000-0000-0040,38.7,Cappuccino
07-04-2024,46:05.1,card,ANON-0000-0000-0040,38.7,Cappuccino
07-04-2024,16:24.9,card,ANON-0000-0000-0100,28.9,Cortado
07-04-2024,17:30.6,card,ANON-0000-0000-0100,24,Espresso
07-04-2024,01:16.6,card,ANON-0000-0000-0101,38.7,Hot Chocolate
07-04-2024,02:03.9,card,ANON-0000-0000-0101,33.8,Americano with Milk
08-04-2024,58:21.1,card,ANON-0000-0000-0102,33.8,Americano with Milk
08-04-2024,59:27.6,card,ANON-0000-0000-0103,38.7,Cappuccino
08-04-2024,01:20.5,card,ANON-0000-0000-0012,28.9,Americano
08-04-2024,04:47.0,card,ANON-0000-0000-0104,38.7,Cappuccino
08-04-2024,54:25.9,cash,,25,Espresso
08-04-2024,43:36.9,cash,,35,Americano with Milk
08-04-2024,41:37.8,card,ANON-0000-0000-0017,38.7,Latte
08-04-2024,18:09.7,card,ANON-0000-0000-0105,28.9,Americano
08-04-2024,22:27.5,card,ANON-0000-0000-0024,33.8,Americano with Milk
08-04-2024,23:59.3,card,ANON-0000-0000-0106,38.7,Cappuccino
09-04-2024,22:27.4,cash,,40,Cappuccino
09-04-2024,24:10.1,cash,,30,Americano
09-04-2024,42:28.5,card,ANON-0000-0000-0091,38.7,Latte
09-04-2024,11:48.7,card,ANON-0000-0000-0107,38.7,Hot Chocolate
09-04-2024,25:23.9,card,ANON-0000-0000-0049,38.7,Hot Chocolate
10-04-2024,21:26.2,cash,,25,Espresso
10-04-2024,55:07.0,cash,,40,Hot Chocolate
10-04-2024,55:31.2,card,ANON-0000-0000-0108,24,Espresso
10-04-2024,24:59.3,card,ANON-0000-0000-0009,38.7,Cappuccino
10-04-2024,04:05.4,card,ANON-0000-0000-0109,38.7,Latte
11-04-2024,41:23.2,card,ANON-0000-0000-0110,28.9,Americano
11-04-2024,42:59.4,card,ANON-0000-0000-0110,28.9,Americano
11-04-2024,35:23.1,card,ANON-0000-0000-0017,38.7,Latte
11-04-2024,16:56.6,card,ANON-0000-0000-0106,38.7,Cappuccino
11-04-2024,18:36.6,card,ANON-0000-0000-0024,33.8,Americano with Milk
12-04-2024,03:43.4,card,ANON-0000-0000-0019,38.7,Hot Chocolate
12-04-2024,38:23.2,card,ANON-0000-0000-0009,28.9,Cortado
13-04-2024,29:19.8,card,ANON-0000-0000-0009,38.7,Latte
13-04-2024,43:02.4,card,ANON-0000-0000-0012,28.9,Americano
13-04-2024,06:52.3,cash,,40,Hot Chocolate
13-04-2024,07:56.0,cash,,40,Hot Chocolate
13-04-2024,18:03.9,card,ANON-0000-0000-0111,38.7,Cappuccino
13-04-2024,19:39.8,card,ANON-0000-0000-0111,38.7,Latte
13-04-2024,51:26.0,card,ANON-0000-0000-0112,38.7,Cappuccino
13-04-2024,53:19.2,card,ANON-0000-0000-0012,38.7,Cappuccino
14-04-2024,55:27.4,cash,,40,Latte
14-04-2024,24:39.0,card,ANON-0000-0000-0113,38.7,Cappuccino
14-04-2024,27:09.0,cash,,30,Cortado
14-04-2024,29:06.9,cash,,30,Cortado
14-04-2024,31:36.0,cash,,35,Americano with Milk
14-04-2024,21:49.8,card,ANON-0000-0000-0114,28.9,Cortado
14-04-2024,23:31.6,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,24:26.9,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,25:18.1,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,46:27.7,card,ANON-0000-0000-0017,38.7,Cappuccino
14-04-2024,59:54.8,card,ANON-0000-0000-0012,28.9,Cortado
14-04-2024,00:45.4,card,ANON-0000-0000-0019,38.7,Latte
14-04-2024,38:19.6,card,ANON-0000-0000-0115,38.7,Cappuccino
15-04-2024,45:24.6,card,ANON-0000-0000-0064,28.9,Americano
15-04-2024,01:46.4,card,ANON-0000-0000-0003,28.9,Americano
15-04-2024,02:49.7,card,ANON-0000-0000-0004,33.8,Americano with Milk
